Ask Price,Bid Price,Last Trade Closed,Volume Today,Volume Last 24 Hours,Price Today,Price Last 24 Hours,Number of Trades Today,Number of Trades Last 24 Hours,Low Today,Low Last 24 Hours,High Today,High Last 24 Hours,Time
59829.8,59829.7,59829.8,2589.66645478,2680.37488586,59783.0247,59780.55813,31297.0,31988.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:32:58.331201
59833.3,59833.2,59833.3,2589.91743457,2680.62326169,59783.02953,59780.56322,31301.0,31991.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:01.406011
59833.3,59833.2,59833.3,2589.91743457,2680.62326169,59783.02953,59780.56322,31301.0,31991.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:04.568263
59833.3,59833.2,59833.3,2589.91743457,2680.62326169,59783.02953,59780.56322,31301.0,31991.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:07.713651
59833.3,59833.2,59833.3,2589.91743457,2680.61511305,59783.02953,59780.56381,31301.0,31989.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:10.863551
59833.3,59833.2,59833.3,2589.91743457,2680.61511305,59783.02953,59780.56381,31301.0,31989.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:13.933120
59833.3,59833.2,59833.3,2589.91743457,2680.61511305,59783.02953,59780.56381,31301.0,31989.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:16.997041
Ask Price,Bid Price,Last Trade Closed,Volume Today,Volume Last 24 Hours,Price Today,Price Last 24 Hours,Number of Trades Today,Number of Trades Last 24 Hours,Low Today,Low Last 24 Hours,High Today,High Last 24 Hours,Time
59833.3,59833.2,59833.3,2589.91955868,2680.3997858,59783.02958,59780.5791,31302.0,31988.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:21.011210
59829.8,59829.7,59833.2,2589.95980868,2680.43066043,59783.03036,59780.58058,31305.0,31990.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:24.134190
59829.5,59829.4,59829.7,2589.96005868,2680.43091043,59783.03036,59780.58058,31306.0,31991.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:27.300337
59826.1,59826.0,59829.4,2589.97310868,2680.44396043,59783.03059,59780.58082,31309.0,31994.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:30.365359
59826.1,59826.0,59829.4,2589.97310868,2680.44396043,59783.03059,59780.58082,31309.0,31994.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:33.508372
59826.1,59826.0,59829.4,2589.97310868,2680.44396043,59783.03059,59780.58082,31309.0,31994.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:36.579828
59778.5,59777.0,59799.9,2590.23546683,2680.70631858,59783.03348,59780.58385,31315.0,32000.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:39.648098
59777.1,59777.0,59799.9,2590.23546683,2680.70631858,59783.03348,59780.58385,31315.0,32000.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:42.719871
59777.1,59777.0,59777.1,2590.23881521,2679.69419061,59783.03348,59780.64906,31316.0,31976.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:45.795345
59777.1,59777.0,59777.1,2590.23881521,2678.90746695,59783.03348,59780.69677,31316.0,31974.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:48.875457
59777.1,59777.0,59777.0,2590.30325881,2677.36498739,59783.03333,59780.79587,31317.0,31963.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:51.957903
59783.0,59777.3,59777.0,2590.30325881,2677.34498739,59783.03333,59780.79725,31317.0,31961.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:55.018595
59781.4,59777.6,59777.0,2590.30325881,2677.34498739,59783.03333,59780.79725,31317.0,31961.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:33:58.079165
59782.8,59781.4,59777.0,2590.30325881,2677.34498739,59783.03333,59780.79725,31317.0,31961.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:01.171153
59781.5,59781.4,59777.0,2590.30325881,2676.84498739,59783.03333,59780.8316,31317.0,31958.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:04.231249
Ask Price,Bid Price,Last Trade Closed,Volume Today,Volume Last 24 Hours,Price Today,Price Last 24 Hours,Number of Trades Today,Number of Trades Last 24 Hours,Low Today,Low Last 24 Hours,High Today,High Last 24 Hours,Time
59781.5,59781.4,59777.0,2590.30325881,2676.84498739,59783.03333,59780.8316,31317.0,31958.0,59178.7,59178.7,60652.6,60652.6,2021-04-11 19:34:06.814754
